timestamp tx ty tz qx qy qz qw
1683459921.199548 -3.763 -7.3638 0.8589 0.0 0.0 0.0 0.0
1683459921.5030072 -3.7632 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459921.727759 -3.763 -7.3639 0.8589 0.0 0.0 0.0 0.0
1683459921.9355185 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459922.207162 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459922.430918 -3.7631 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459922.655519 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459922.97514 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459923.1828766 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459923.4225962 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459923.6793282 -3.7631 -7.3641 0.8589 0.0 0.0 0.0 0.0
1683459923.823197 -3.7631 -7.3641 0.8589 0.0 0.0 0.0 0.0
1683459924.0628347 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459924.2067037 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459924.4304469 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459924.846899 -3.7631 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459925.0227046 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459925.3423443 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459925.5660646 -3.7634 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459925.790917 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459925.998663 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459926.2224665 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459926.4141436 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459926.6538715 -3.7634 -7.3646 0.8588 0.0 0.0 0.0 0.0
1683459926.910799 -3.7632 -7.3641 0.859 0.0 0.0 0.0 0.0
1683459927.1504707 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459927.3741927 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459927.8539796 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459928.0617342 -3.7634 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459928.2215283 -3.7634 -7.3646 0.8588 0.0 0.0 0.0 0.0
1683459928.4771962 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459928.7169223 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459929.0383053 -3.7634 -7.3647 0.8588 0.0 0.0 0.0 0.0
1683459929.2460964 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459929.4857988 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459929.725478 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459929.9822433 -3.7635 -7.3648 0.8588 0.0 0.0 0.0 0.0
1683459930.2379034 -3.7631 -7.3641 0.8589 0.0 0.0 0.0 0.0
1683459930.50963 -3.7635 -7.365 0.8588 0.0 0.0 0.0 0.0
1683459930.733363 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459930.9421437 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459931.1499012 -3.7635 -7.3649 0.8589 0.0 0.0 0.0 0.0
1683459931.3416464 -3.7635 -7.3648 0.8588 0.0 0.0 0.0 0.0
1683459931.5813544 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459931.8374803 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459932.17306 -3.7635 -7.3649 0.8588 0.0 0.0 0.0 0.0
1683459932.3968437 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459932.6205287 -3.7635 -7.3649 0.8589 0.0 0.0 0.0 0.0
1683459932.9510193 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459933.1748128 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459933.367066 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459933.6231155 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459933.8630817 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459934.055283 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459934.311308 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459934.519041 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459934.7433932 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459935.078864 -3.7631 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459935.238775 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459935.4468102 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459935.6228187 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459935.8468385 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459936.0702996 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459936.2782822 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459936.518325 -3.7633 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459936.774446 -3.7632 -7.3643 0.8589 0.0 0.0 0.0 0.0
1683459937.0464666 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459937.30248 -3.7631 -7.3641 0.8589 0.0 0.0 0.0 0.0
1683459937.6065376 -3.7634 -7.3646 0.8589 0.0 0.0 0.0 0.0
1683459937.8145127 -3.7634 -7.3647 0.8589 0.0 0.0 0.0 0.0
1683459938.022508 -3.7634 -7.3646 0.8588 0.0 0.0 0.0 0.0
1683459938.2624843 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459938.4864838 -3.7632 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459938.7265496 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459938.9825606 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459939.2537513 -3.7633 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459939.4777968 -3.7631 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459939.749833 -3.7632 -7.3642 0.8589 0.0 0.0 0.0 0.0
1683459940.2134807 -3.7632 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459940.3895154 -3.7633 -7.3645 0.8589 0.0 0.0 0.0 0.0
1683459940.6455605 -3.7632 -7.3644 0.8589 0.0 0.0 0.0 0.0
1683459940.9496078 -3.7634 -7.3647 0.8588 0.0 0.0 0.0 0.0
1683459941.2376008 -3.7584 -7.3489 0.8591 0.0 0.0 0.0 0.0
1683459941.4776435 -3.7485 -7.3223 0.8597 0.0 0.0 0.0 0.0
1683459941.7496717 -3.7325 -7.2834 0.8571 0.0 0.0 0.0 0.0
